,Observed,Predicted
1981-01-01,40.3,42.09972
1981-01-02,39.3,41.619465
1981-01-03,38.5,41.005726
1981-01-04,37.9,40.617138
1981-01-05,37.700005,40.525776
1981-01-06,36.1,41.391827
1981-01-07,36.8,40.582756
1981-01-08,37.1,39.51109
1981-01-09,36.7,39.86178
1981-01-10,35.9,38.95478
1981-01-11,35.200005,38.32347
1981-01-12,34.8,38.328926
1981-01-13,34.1,38.890205
1981-01-14,33.6,38.573795
1981-01-15,33.8,38.13433
1981-01-16,33.9,37.336124
1981-01-17,33.9,36.969486
1981-01-18,33.5,36.80414
1981-01-19,33.0,36.077354
1981-01-20,32.8,35.457336
1981-01-21,31.900003,35.24056
1981-01-22,31.400003,34.972332
1981-01-23,31.1,33.5603
1981-01-24,30.300003,33.028805
1981-01-25,29.9,32.9867
1981-01-26,29.600002,32.54703
1981-01-27,29.199997,31.351301
1981-01-28,28.7,31.4051
1981-01-29,28.1,31.003422
1981-01-30,27.2,30.390795
1981-01-31,26.400003,30.224815
1981-02-01,25.9,30.298262
1981-02-02,25.9,29.848768
1981-02-03,25.9,29.068464
1981-02-04,25.6,28.844065
1981-02-05,25.6,28.4063
1981-02-06,25.7,28.357834
1981-02-07,25.800003,28.03848
1981-02-08,25.9,27.742418
1981-02-09,25.5,27.412003
1981-02-10,25.4,27.027931
1981-02-11,26.8,28.675692
1981-02-12,27.3,28.84393
1981-02-13,28.2,29.209024
1981-02-14,29.399998,28.735535
1981-02-15,30.4,28.359146
1981-02-16,31.400003,28.663416
1981-02-17,31.900003,28.474411
1981-02-18,32.700005,29.898216
1981-02-19,34.1,33.32487
1981-02-20,38.4,39.172207
1981-02-21,46.6,44.93649
1981-02-22,54.6,52.715675
1981-02-23,67.6,66.89779
1981-02-24,93.1,91.99388
1981-02-25,120.0,106.46068
1981-02-26,138.00002,113.66715
1981-02-27,143.00002,114.96705
1981-02-28,145.0,116.013145
1981-03-01,144.0,115.74778
1981-03-02,141.0,112.31673
1981-03-03,134.0,108.997604
1981-03-04,127.0,106.41129
1981-03-05,121.0,101.2431
1981-03-06,116.0,96.67709
1981-03-07,111.0,93.55971
1981-03-08,107.0,89.78827
1981-03-09,103.000015,85.62546
1981-03-10,98.8,81.487076
1981-03-11,94.8,79.33008
1981-03-12,90.6,76.90798
1981-03-13,88.4,74.5452
1981-03-14,83.6,71.8913
1981-03-15,81.8,69.76567
1981-03-16,78.8,67.90902
1981-03-17,76.600006,65.39285
1981-03-18,72.4,64.18264
1981-03-19,72.600006,60.943604
1981-03-20,70.6,58.710464
1981-03-21,68.5,56.866684
1981-03-22,66.7,56.068634
1981-03-23,65.0,54.16226
1981-03-24,63.4,52.209053
1981-03-25,62.5,52.34406
1981-03-26,61.9,51.678547
1981-03-27,62.3,50.436787
1981-03-28,62.700005,50.17409
1981-03-29,64.3,50.618443
1981-03-30,72.1,54.162872
1981-03-31,98.3,70.57788
1981-04-01,132.00002,83.38339
1981-04-02,152.0,102.033905
1981-04-03,163.00002,112.180954
1981-04-04,173.00002,120.79746
1981-04-05,190.00002,130.16017
1981-04-06,206.99998,136.0127
1981-04-07,218.0,136.79811
1981-04-08,220.99998,140.93956
1981-04-09,224.0,146.69464
1981-04-10,232.00003,151.77475
1981-04-11,235.00002,154.73271
1981-04-12,231.00002,157.26712
1981-04-13,222.99998,159.37218
1981-04-14,217.00002,156.46184
1981-04-15,209.00002,151.8008
1981-04-16,201.00002,143.60382
1981-04-17,193.0,138.69313
1981-04-18,185.00002,132.17392
1981-04-19,176.0,126.506325
1981-04-20,168.00002,121.875275
1981-04-21,158.00002,114.43744
1981-04-22,150.0,107.278885
1981-04-23,142.00002,101.91943
1981-04-24,135.99998,97.38271
1981-04-25,130.0,93.7843
1981-04-26,123.000015,89.21714
1981-04-27,117.0,85.34229
1981-04-28,113.000015,79.68875
1981-04-29,110.0,77.824066
1981-04-30,108.000015,78.00734
1981-05-01,106.0,76.69336
1981-05-02,104.0,74.322975
1981-05-03,101.0,71.52576
1981-05-04,97.8,69.30771
1981-05-05,94.3,66.041115
1981-05-06,91.1,61.117172
1981-05-07,87.50001,60.245907
1981-05-08,84.6,58.437984
1981-05-09,81.1,57.27402
1981-05-10,78.1,54.964592
1981-05-11,83.8,61.351673
1981-05-12,101.0,78.926186
1981-05-13,120.0,97.72541
1981-05-14,131.0,111.45038
1981-05-15,133.00002,123.86909
1981-05-16,131.0,134.28346
1981-05-17,125.0,141.6663
1981-05-18,120.0,138.34631
1981-05-19,115.0,132.23468
