,Observed,Predicted
1981-01-01,,0.43711957
1981-01-02,,0.4225678
1981-01-03,,0.40916207
1981-01-04,,0.4051362
1981-01-05,,0.40929806
1981-01-06,,0.41612583
1981-01-07,,0.4044854
1981-01-08,,0.39962587
1981-01-09,,0.39778328
1981-01-10,,0.3863968
1981-01-11,,0.36999902
1981-01-12,,0.36691004
1981-01-13,,0.36303267
1981-01-14,,0.36046797
1981-01-15,,0.35898623
1981-01-16,,0.35523212
1981-01-17,,0.3504559
1981-01-18,,0.3484804
1981-01-19,,0.35098767
1981-01-20,,0.34826165
1981-01-21,,0.34070742
1981-01-22,,0.3363172
1981-01-23,,0.33597675
1981-01-24,,0.33369473
1981-01-25,,0.3327131
1981-01-26,,0.33513936
1981-01-27,,0.34247744
1981-01-28,,0.3394238
1981-01-29,,0.33145508
1981-01-30,,0.3222736
1981-01-31,,0.32361373
1981-02-01,,0.3262588
1981-02-02,,0.33279815
1981-02-03,,0.32771432
1981-02-04,,0.31972814
1981-02-05,,0.3144873
1981-02-06,,0.3149745
1981-02-07,,0.32042143
1981-02-08,,0.31648475
1981-02-09,,0.31601647
1981-02-10,,0.32289493
1981-02-11,,0.354009
1981-02-12,,0.36314487
1981-02-13,,0.35690463
1981-02-14,,0.35251305
1981-02-15,,0.34924725
1981-02-16,,0.3638221
1981-02-17,,0.40812093
1981-02-18,,0.46869078
1981-02-19,,0.5798515
1981-02-20,,0.6871673
1981-02-21,,0.8023189
1981-02-22,,0.8131831
1981-02-23,,1.0619241
1981-02-24,,1.4425173
1981-02-25,,1.5236344
1981-02-26,,1.6467611
1981-02-27,,1.5894995
1981-02-28,,1.5129843
1981-03-01,,1.4340476
1981-03-02,,1.3366039
1981-03-03,,1.249961
1981-03-04,,1.1714994
1981-03-05,,1.0904837
1981-03-06,,1.0277765
1981-03-07,,0.9733808
1981-03-08,,0.96025807
1981-03-09,,0.9142251
1981-03-10,,0.91297567
1981-03-11,,0.8789336
1981-03-12,,0.8506671
1981-03-13,,0.8192792
1981-03-14,,0.79091454
1981-03-15,,0.7617678
1981-03-16,,0.73626447
1981-03-17,,0.6914831
1981-03-18,,0.6579663
1981-03-19,,0.6265511
1981-03-20,,0.6169082
1981-03-21,,0.60588175
1981-03-22,,0.5965432
1981-03-23,,0.58671296
1981-03-24,,0.59700555
1981-03-25,,0.6184428
1981-03-26,,0.62690437
1981-03-27,,0.6446098
1981-03-28,,0.6447754
1981-03-29,,0.6761801
1981-03-30,,0.7529782
1981-03-31,,0.9114526
1981-04-01,,0.9851516
1981-04-02,,1.1041539
1981-04-03,,1.1522418
1981-04-04,,1.2155054
1981-04-05,,1.2837218
1981-04-06,,1.2813752
1981-04-07,,1.2094406
1981-04-08,,1.136091
1981-04-09,,1.2018687
1981-04-10,,1.2427042
1981-04-11,,1.2231885
1981-04-12,,1.2059494
1981-04-13,,1.141005
1981-04-14,,1.1443397
1981-04-15,,1.0846334
1981-04-16,,1.0257214
1981-04-17,,0.9561947
1981-04-18,,0.94228315
1981-04-19,,0.90480787
1981-04-20,,0.8599835
1981-04-21,,0.8270635
1981-04-22,,0.7790607
1981-04-23,,0.7791945
1981-04-24,,0.8464002
1981-04-25,,0.8203122
1981-04-26,,0.8056777
1981-04-27,,0.7983382
1981-04-28,,0.7742248
1981-04-29,,0.78062063
1981-04-30,,0.7932196
1981-05-01,,0.77544
1981-05-02,,0.75548416
1981-05-03,,0.73048806
1981-05-04,,0.7052488
1981-05-05,,0.7064048
1981-05-06,,0.7170577
1981-05-07,,0.68786204
1981-05-08,,0.6565131
1981-05-09,,0.6349192
1981-05-10,,0.6552429
1981-05-11,,0.9329681
1981-05-12,,1.3163627
1981-05-13,,1.4560212
1981-05-14,,1.5092571
1981-05-15,,1.5107484
1981-05-16,,1.4770116
1981-05-17,,1.4507213
1981-05-18,,1.3377054
1981-05-19,,1.2375071
1981-05-20,,1.1432261
1981-05-21,,1.0670301
1981-05-22,,0.996938
1981-05-23,,0.94142395
1981-05-24,,0.8793646
1981-05-25,,0.85827094
1981-05-26,,0.89278555
1981-05-27,,0.8732505
1981-05-28,,0.8552898
1981-05-29,,0.83336455
1981-05-30,,0.8141305
1981-05-31,,0.7835137
1981-06-01,,0.73977625
1981-06-02,,0.7041556
1981-06-03,,0.67701924
1981-06-04,,0.697255
1981-06-05,,0.771225
1981-06-06,,0.78061026
1981-06-07,,0.83548325
1981-06-08,,0.79431564
1981-06-09,,0.79444796
1981-06-10,,0.7494158
1981-06-11,,0.7162692
1981-06-12,,0.69907594
1981-06-13,,0.7523896
1981-06-14,,0.7158067
1981-06-15,,0.72828484
