time,date,hour,precip [mm/day],sub3048815 [m3/s],sub3048815 (observed) [m3/s]
0,1981-01-01,00:00:00.00,---,60.1598,
0.0416667,1981-01-01,01:00:00.00,0.652803,60.1189,
0.0833333,1981-01-01,02:00:00.00,0.652803,59.2931,
0.125,1981-01-01,03:00:00.00,0.652803,55.5749,
0.166667,1981-01-01,04:00:00.00,0.652803,52.6405,
0.208333,1981-01-01,05:00:00.00,0.652803,52.6387,
0.25,1981-01-01,06:00:00.00,0.652803,52.4221,
0.291667,1981-01-01,07:00:00.00,0.652803,51.1901,
0.333333,1981-01-01,08:00:00.00,0.652803,49.1458,
0.375,1981-01-01,09:00:00.00,0.652803,44.519,
0.416667,1981-01-01,10:00:00.00,0.652803,29.0777,
0.458333,1981-01-01,11:00:00.00,0.652803,12.1554,
0.5,1981-01-01,12:00:00.00,0.652803,7.01184,
0.541667,1981-01-01,13:00:00.00,0.652803,6.99649,
0.583333,1981-01-01,14:00:00.00,0.652803,7.08248,
0.625,1981-01-01,15:00:00.00,0.652803,7.1569,
0.666667,1981-01-01,16:00:00.00,0.652803,7.2306,
0.708333,1981-01-01,17:00:00.00,0.652803,7.30371,
0.75,1981-01-01,18:00:00.00,0.652803,7.37927,
0.791667,1981-01-01,19:00:00.00,0.652803,7.46906,
0.833333,1981-01-01,20:00:00.00,0.652803,7.5758,
0.875,1981-01-01,21:00:00.00,0.652803,7.68733,
0.916667,1981-01-01,22:00:00.00,0.652803,7.79681,
0.958333,1981-01-01,23:00:00.00,0.652803,7.90407,
1,1981-01-02,00:00:00.00,0.652803,8.0099,40.3
1.04167,1981-01-02,01:00:00.00,0.628378,8.11178,40.3
1.08333,1981-01-02,02:00:00.00,0.628378,8.19166,40.3
1.125,1981-01-02,03:00:00.00,0.628378,8.19354,40.3
1.16667,1981-01-02,04:00:00.00,0.628378,8.21483,40.3
1.20833,1981-01-02,05:00:00.00,0.628378,8.31386,40.3
1.25,1981-01-02,06:00:00.00,0.628378,8.41076,40.3
1.29167,1981-01-02,07:00:00.00,0.628378,8.50552,40.3
1.33333,1981-01-02,08:00:00.00,0.628378,8.59813,40.3
1.375,1981-01-02,09:00:00.00,0.628378,8.68853,40.3
1.41667,1981-01-02,10:00:00.00,0.628378,8.77624,40.3
1.45833,1981-01-02,11:00:00.00,0.628378,8.86079,40.3
1.5,1981-01-02,12:00:00.00,0.628378,8.94266,40.3
1.54167,1981-01-02,13:00:00.00,0.628378,9.0226,40.3
1.58333,1981-01-02,14:00:00.00,0.628378,9.10088,40.3
1.625,1981-01-02,15:00:00.00,0.628378,9.17745,40.3
1.66667,1981-01-02,16:00:00.00,0.628378,9.25221,40.3
1.70833,1981-01-02,17:00:00.00,0.628378,9.32496,40.3
1.75,1981-01-02,18:00:00.00,0.628378,9.39516,40.3
1.79167,1981-01-02,19:00:00.00,0.628378,9.46225,40.3
1.83333,1981-01-02,20:00:00.00,0.628378,9.52636,40.3
1.875,1981-01-02,21:00:00.00,0.628378,9.58809,40.3
1.91667,1981-01-02,22:00:00.00,0.628378,9.64827,40.3
1.95833,1981-01-02,23:00:00.00,0.628378,9.70778,40.3
2,1981-01-03,00:00:00.00,0.628378,9.7674,39.3
2.04167,1981-01-03,01:00:00.00,0.602399,9.82607,39.3
2.08333,1981-01-03,02:00:00.00,0.602399,9.85706,39.3
2.125,1981-01-03,03:00:00.00,0.602399,9.78333,39.3
2.16667,1981-01-03,04:00:00.00,0.602399,9.73744,39.3
2.20833,1981-01-03,05:00:00.00,0.602399,9.79718,39.3
2.25,1981-01-03,06:00:00.00,0.602399,9.85602,39.3
2.29167,1981-01-03,07:00:00.00,0.602399,9.91392,39.3
2.33333,1981-01-03,08:00:00.00,0.602399,9.9708,39.3
2.375,1981-01-03,09:00:00.00,0.602399,10.0265,39.3
2.41667,1981-01-03,10:00:00.00,0.602399,10.0802,39.3
2.45833,1981-01-03,11:00:00.00,0.602399,10.1312,39.3
2.5,1981-01-03,12:00:00.00,0.602399,10.1801,39.3
