time,date,hour,precip [mm/day]
0,1981-01-01,00:00:00.00,0.652803
0.0416667,1981-01-01,01:00:00.00,0.652803
0.0833333,1981-01-01,02:00:00.00,0.652803
0.125,1981-01-01,03:00:00.00,0.652803
0.166667,1981-01-01,04:00:00.00,0.652803
0.208333,1981-01-01,05:00:00.00,0.652803
0.25,1981-01-01,06:00:00.00,0.652803
0.291667,1981-01-01,07:00:00.00,0.652803
0.333333,1981-01-01,08:00:00.00,0.652803
0.375,1981-01-01,09:00:00.00,0.652803
0.416667,1981-01-01,10:00:00.00,0.652803
0.458333,1981-01-01,11:00:00.00,0.652803
0.5,1981-01-01,12:00:00.00,0.652803
0.541667,1981-01-01,13:00:00.00,0.652803
0.583333,1981-01-01,14:00:00.00,0.652803
0.625,1981-01-01,15:00:00.00,0.652803
0.666667,1981-01-01,16:00:00.00,0.652803
0.708333,1981-01-01,17:00:00.00,0.652803
0.75,1981-01-01,18:00:00.00,0.652803
0.791667,1981-01-01,19:00:00.00,0.652803
0.833333,1981-01-01,20:00:00.00,0.652803
0.875,1981-01-01,21:00:00.00,0.652803
0.916667,1981-01-01,22:00:00.00,0.652803
0.958333,1981-01-01,23:00:00.00,0.652803
1,1981-01-02,00:00:00.00,0.652803
1.04167,1981-01-02,01:00:00.00,0.628378
1.08333,1981-01-02,02:00:00.00,0.628378
1.125,1981-01-02,03:00:00.00,0.628378
1.16667,1981-01-02,04:00:00.00,0.628378
1.20833,1981-01-02,05:00:00.00,0.628378
1.25,1981-01-02,06:00:00.00,0.628378
1.29167,1981-01-02,07:00:00.00,0.628378
1.33333,1981-01-02,08:00:00.00,0.628378
1.375,1981-01-02,09:00:00.00,0.628378
1.41667,1981-01-02,10:00:00.00,0.628378
1.45833,1981-01-02,11:00:00.00,0.628378
1.5,1981-01-02,12:00:00.00,0.628378
1.54167,1981-01-02,13:00:00.00,0.628378
1.58333,1981-01-02,14:00:00.00,0.628378
1.625,1981-01-02,15:00:00.00,0.628378
1.66667,1981-01-02,16:00:00.00,0.628378
1.70833,1981-01-02,17:00:00.00,0.628378
1.75,1981-01-02,18:00:00.00,0.628378
1.79167,1981-01-02,19:00:00.00,0.628378
1.83333,1981-01-02,20:00:00.00,0.628378
1.875,1981-01-02,21:00:00.00,0.628378
1.91667,1981-01-02,22:00:00.00,0.628378
1.95833,1981-01-02,23:00:00.00,0.628378
2,1981-01-03,00:00:00.00,0.628378
2.04167,1981-01-03,01:00:00.00,0.602399
2.08333,1981-01-03,02:00:00.00,0.602399
2.125,1981-01-03,03:00:00.00,0.602399
2.16667,1981-01-03,04:00:00.00,0.602399
2.20833,1981-01-03,05:00:00.00,0.602399
2.25,1981-01-03,06:00:00.00,0.602399
2.29167,1981-01-03,07:00:00.00,0.602399
2.33333,1981-01-03,08:00:00.00,0.602399
2.375,1981-01-03,09:00:00.00,0.602399
2.41667,1981-01-03,10:00:00.00,0.602399
2.45833,1981-01-03,11:00:00.00,0.602399
2.5,1981-01-03,12:00:00.00,0.602399
2.54167,1981-01-03,13:00:00.00,0.602399
2.58333,1981-01-03,14:00:00.00,0.602399
2.625,1981-01-03,15:00:00.00,0.602399
2.66667,1981-01-03,16:00:00.00,0.602399
2.70833,1981-01-03,17:00:00.00,0.602399
2.75,1981-01-03,18:00:00.00,0.602399
