time [d],date,hour,rainfall [mm/day],snowfall [mm/d SWE],Channel Storage [mm],Reservoir Storage [mm],Rivulet Storage [mm],Surface Water [mm],Cum. Losses to Atmosphere [mm],Ponded Water [mm],Soil Water[0] [mm], Total [mm], Cum. Inputs [mm], Cum. Outflow [mm], MB Error [mm]
0,1981-01-01,00:00:00.00,---,---,0.731479,611.687,0.0524755,0,0,0,15,627.53,0,0,0
0.0416667,1981-01-01,01:00:00.00,0.314162,0.338642,0.679899,611.785,0.0391683,0,0,0,15,627.504,0.0272001,0.0524398,4.06168e-13
0.0833333,1981-01-01,02:00:00.00,0.314162,0.338642,0.586877,611.854,0.0391683,0,0,0,15,627.48,0.0544003,0.104159,2.4819e-13
0.125,1981-01-01,03:00:00.00,0.314162,0.338642,0.514295,611.905,0.0391683,0,0,0,15,627.459,0.0816004,0.152636,4.54706e-13
0.166667,1981-01-01,04:00:00.00,0.314162,0.338642,0.462853,611.938,0.0391683,0,0,0,15,627.44,0.108801,0.198552,1.93734e-13
0.208333,1981-01-01,05:00:00.00,0.314162,0.338642,0.422765,611.959,0.0391683,0,0,0,15,627.421,0.136001,0.244467,4.165e-13
0.25,1981-01-01,06:00:00.00,0.314162,0.338642,0.383403,611.98,0.0391683,0,0,0,15,627.403,0.163201,0.290193,3.10918e-13
0.291667,1981-01-01,07:00:00.00,0.314162,0.338642,0.345168,612.001,0.0391683,0,0,0,15,627.385,0.190401,0.334845,2.49634e-13
0.333333,1981-01-01,08:00:00.00,0.314162,0.338642,0.30878,612.021,0.0391683,0,0,0,15,627.369,0.217601,0.377713,-8.34416e-05
0.375,1981-01-01,09:00:00.00,0.314162,0.338642,0.27649,612.041,0.0391683,0,0,0,15,627.357,0.244801,0.416546,-0.00116919
0.416667,1981-01-01,10:00:00.00,0.314162,0.338642,0.257744,612.059,0.0391683,0,0,0,15,627.356,0.272001,0.441909,-0.00338889
0.458333,1981-01-01,11:00:00.00,0.314162,0.338642,0.253852,612.077,0.0391683,0,0,0,15,627.37,0.299201,0.452512,-0.00652567
0.5,1981-01-01,12:00:00.00,0.314162,0.338642,0.254539,612.093,0.0391683,0,0,0,15,627.387,0.326402,0.458628,-0.0102374
0.541667,1981-01-01,13:00:00.00,0.314162,0.338642,0.255331,612.11,0.0391683,0,0,0,15,627.404,0.353602,0.464731,-0.01408
0.583333,1981-01-01,14:00:00.00,0.314162,0.338642,0.25614,612.127,0.0391683,0,0,0,15,627.422,0.380802,0.470909,-0.0175546
0.625,1981-01-01,15:00:00.00,0.314162,0.338642,0.256976,612.144,0.0391683,0,0,0,15,627.44,0.408002,0.477152,-0.0201709
0.666667,1981-01-01,16:00:00.00,0.314162,0.338642,0.257843,612.163,0.0391683,0,0,0,15,627.46,0.435202,0.483459,-0.0215137
0.708333,1981-01-01,17:00:00.00,0.314162,0.338642,0.258743,612.183,0.0391683,0,0,0,15,627.481,0.462402,0.489829,-0.0216173
0.75,1981-01-01,18:00:00.00,0.314162,0.338642,0.259671,612.203,0.0391683,0,0,0,15,627.501,0.489602,0.496266,-0.0216173
0.791667,1981-01-01,19:00:00.00,0.314162,0.338642,0.260612,612.222,0.0391683,0,0,0,15,627.522,0.516803,0.502781,-0.0216173
0.833333,1981-01-01,20:00:00.00,0.314162,0.338642,0.261546,612.242,0.0391683,0,0,0,15,627.543,0.544003,0.509389,-0.0216173
0.875,1981-01-01,21:00:00.00,0.314162,0.338642,0.262467,612.261,0.0391683,0,0,0,15,627.563,0.571203,0.516095,-0.0216173
0.916667,1981-01-01,22:00:00.00,0.314162,0.338642,0.263375,612.281,0.0391683,0,0,0,15,627.584,0.598403,0.522896,-0.0216173
0.958333,1981-01-01,23:00:00.00,0.314162,0.338642,0.26427,612.3,0.0391683,0,0,0,15,627.604,0.625603,0.52979,-0.0216173
1,1981-01-02,00:00:00.00,0.314162,0.338642,0.265152,612.32,0.0391683,0,0,0,15,627.624,0.652803,0.536777,-0.0216173
1.04167,1981-01-02,01:00:00.00,0.302407,0.325971,0.265927,612.339,0.0386758,0,0,0,15,627.643,0.678986,0.543853,-0.0216173
1.08333,1981-01-02,02:00:00.00,0.302407,0.325971,0.266612,612.357,0.0386758,0,0,0,15,627.662,0.705168,0.550998,-0.0216173
1.125,1981-01-02,03:00:00.00,0.302407,0.325971,0.267367,612.375,0.0386758,0,0,0,15,627.681,0.73135,0.558145,-0.0216173
1.16667,1981-01-02,04:00:00.00,0.302407,0.325971,0.268171,612.393,0.0386758,0,0,0,15,627.7,0.757533,0.56531,-0.0216173
1.20833,1981-01-02,05:00:00.00,0.302407,0.325971,0.268957,612.412,0.0386758,0,0,0,15,627.719,0.783715,0.572562,-0.0216173
1.25,1981-01-02,06:00:00.00,0.302407,0.325971,0.269725,612.43,0.0386758,0,0,0,15,627.738,0.809898,0.579899,-0.0216173
1.29167,1981-01-02,07:00:00.00,0.302407,0.325971,0.270476,612.448,0.0386758,0,0,0,15,627.757,0.83608,0.587318,-0.0216173
1.33333,1981-01-02,08:00:00.00,0.302407,0.325971,0.27121,612.465,0.0386758,0,0,0,15,627.775,0.862263,0.594818,-0.0217042
1.375,1981-01-02,09:00:00.00,0.302407,0.325971,0.271925,612.482,0.0386758,0,0,0,15,627.793,0.888445,0.602396,-0.0227996
1.41667,1981-01-02,10:00:00.00,0.302407,0.325971,0.272618,612.498,0.0386758,0,0,0,15,627.809,0.914627,0.610052,-0.0250301
1.45833,1981-01-02,11:00:00.00,0.302407,0.325971,0.273289,612.513,0.0386758,0,0,0,15,627.824,0.94081,0.617781,-0.0281788
1.5,1981-01-02,12:00:00.00,0.302407,0.325971,0.273937,612.527,0.0386758,0,0,0,15,627.839,0.966992,0.625581,-0.0319033
1.54167,1981-01-02,13:00:00.00,0.302407,0.325971,0.274563,612.54,0.0386758,0,0,0,15,627.854,0.993175,0.633451,-0.0357591
1.58333,1981-01-02,14:00:00.00,0.302407,0.325971,0.275171,612.555,0.0386758,0,0,0,15,627.868,1.01936,0.64139,-0.039247
1.625,1981-01-02,15:00:00.00,0.302407,0.325971,0.275765,612.569,0.0386758,0,0,0,15,627.884,1.04554,0.649395,-0.0418762
1.66667,1981-01-02,16:00:00.00,0.302407,0.325971,0.27635,612.586,0.0386758,0,0,0,15,627.901,1.07172,0.657465,-0.0432311
1.70833,1981-01-02,17:00:00.00,0.302407,0.325971,0.27693,612.603,0.0386758,0,0,0,15,627.919,1.0979,0.665599,-0.043339
1.75,1981-01-02,18:00:00.00,0.302407,0.325971,0.277508,612.62,0.0386758,0,0,0,15,627.937,1.12409,0.673794,-0.043339
1.79167,1981-01-02,19:00:00.00,0.302407,0.325971,0.278082,612.638,0.0386758,0,0,0,15,627.955,1.15027,0.682048,-0.043339
1.83333,1981-01-02,20:00:00.00,0.302407,0.325971,0.278653,612.655,0.0386758,0,0,0,15,627.972,1.17645,0.690357,-0.043339
1.875,1981-01-02,21:00:00.00,0.302407,0.325971,0.279221,612.672,0.0386758,0,0,0,15,627.99,1.20263,0.698721,-0.043339
1.91667,1981-01-02,22:00:00.00,0.302407,0.325971,0.279787,612.69,0.0386758,0,0,0,15,628.008,1.22882,0.707137,-0.043339
1.95833,1981-01-02,23:00:00.00,0.302407,0.325971,0.280351,612.707,0.0386758,0,0,0,15,628.026,1.255,0.715604,-0.043339
2,1981-01-03,00:00:00.00,0.302407,0.325971,0.280911,612.724,0.0386758,0,0,0,15,628.043,1.28118,0.724124,-0.043339
2.04167,1981-01-03,01:00:00.00,0.289905,0.312495,0.281345,612.74,0.0381533,0,0,0,15,628.06,1.30628,0.732695,-0.043339
2.08333,1981-01-03,02:00:00.00,0.289905,0.312495,0.281673,612.757,0.0381533,0,0,0,15,628.076,1.33138,0.741293,-0.043339
2.125,1981-01-03,03:00:00.00,0.289905,0.312495,0.282109,612.773,0.0381533,0,0,0,15,628.093,1.35648,0.749827,-0.043339
2.16667,1981-01-03,04:00:00.00,0.289905,0.312495,0.282625,612.789,0.0381533,0,0,0,15,628.11,1.38158,0.75832,-0.043339
2.20833,1981-01-03,05:00:00.00,0.289905,0.312495,0.28313,612.805,0.0381533,0,0,0,15,628.126,1.40668,0.766866,-0.043339
2.25,1981-01-03,06:00:00.00,0.289905,0.312495,0.283624,612.821,0.0381533,0,0,0,15,628.143,1.43178,0.775463,-0.043339
2.29167,1981-01-03,07:00:00.00,0.289905,0.312495,0.284107,612.837,0.0381533,0,0,0,15,628.159,1.45688,0.784111,-0.043339
2.33333,1981-01-03,08:00:00.00,0.289905,0.312495,0.28458,612.853,0.0381533,0,0,0,15,628.175,1.48198,0.792808,-0.0434297
2.375,1981-01-03,09:00:00.00,0.289905,0.312495,0.285042,612.867,0.0381533,0,0,0,15,628.191,1.50708,0.801554,-0.0445355
2.41667,1981-01-03,10:00:00.00,0.289905,0.312495,0.285494,612.881,0.0381533,0,0,0,15,628.205,1.53218,0.810347,-0.0467778
2.45833,1981-01-03,11:00:00.00,0.289905,0.312495,0.28594,612.894,0.0381533,0,0,0,15,628.218,1.55728,0.819184,-0.0499394
2.5,1981-01-03,12:00:00.00,0.289905,0.312495,0.28638,612.906,0.0381533,0,0,0,15,628.23,1.58238,0.828063,-0.0536777
2.54167,1981-01-03,13:00:00.00,0.289905,0.312495,0.286811,612.918,0.0381533,0,0,0,15,628.243,1.60748,0.836985,-0.0575477
2.58333,1981-01-03,14:00:00.00,0.289905,0.312495,0.287237,612.93,0.0381533,0,0,0,15,628.255,1.63258,0.845947,-0.06105
2.625,1981-01-03,15:00:00.00,0.289905,0.312495,0.287663,612.943,0.0381533,0,0,0,15,628.269,1.65768,0.85495,-0.063693
2.66667,1981-01-03,16:00:00.00,0.289905,0.312495,0.288101,612.957,0.0381533,0,0,0,15,628.283,1.68278,0.863993,-0.0650611
2.70833,1981-01-03,17:00:00.00,0.289905,0.312495,0.288559,612.973,0.0381533,0,0,0,15,628.299,1.70788,0.873074,-0.0651738
2.75,1981-01-03,18:00:00.00,0.289905,0.312495,0.289038,612.988,0.0381533,0,0,0,15,628.315,1.73298,0.882193,-0.0651738
2.79167,1981-01-03,19:00:00.00,0.289905,0.312495,0.289529,613.004,0.0381533,0,0,0,15,628.331,1.75808,0.891348,-0.0651738
2.83333,1981-01-03,20:00:00.00,0.289905,0.312495,0.290024,613.019,0.0381533,0,0,0,15,628.347,1.78318,0.900541,-0.0651738
2.875,1981-01-03,21:00:00.00,0.289905,0.312495,0.29052,613.034,0.0381533,0,0,0,15,628.363,1.80828,0.909772,-0.0651738
2.91667,1981-01-03,22:00:00.00,0.289905,0.312495,0.291016,613.05,0.0381533,0,0,0,15,628.379,1.83338,0.919041,-0.0651738
2.95833,1981-01-03,23:00:00.00,0.289905,0.312495,0.291513,613.065,0.0381533,0,0,0,15,628.395,1.85848,0.928348,-0.0651738
3,1981-01-04,00:00:00.00,0.289905,0.312495,0.29201,613.08,0.0381533,0,0,0,15,628.41,1.88358,0.937693,-0.0651738
3.04167,1981-01-04,01:00:00.00,0.285435,0.307677,0.292492,613.095,0.0379775,0,0,0,15,628.426,1.90829,0.947077,-0.0651738
3.08333,1981-01-04,02:00:00.00,0.285435,0.307677,0.292959,613.11,0.0379775,0,0,0,15,628.441,1.93301,0.956499,-0.0651738
3.125,1981-01-04,03:00:00.00,0.285435,0.307677,0.293432,613.125,0.0379775,0,0,0,15,628.456,1.95772,0.965951,-0.0651738
3.16667,1981-01-04,04:00:00.00,0.285435,0.307677,0.293912,613.14,0.0379775,0,0,0,15,628.471,1.98243,0.975435,-0.0651738
3.20833,1981-01-04,05:00:00.00,0.285435,0.307677,0.29439,613.154,0.0379775,0,0,0,15,628.487,2.00715,0.984959,-0.0651738
3.25,1981-01-04,06:00:00.00,0.285435,0.307677,0.294866,613.169,0.0379775,0,0,0,15,628.502,2.03186,0.994523,-0.0651738
3.29167,1981-01-04,07:00:00.00,0.285435,0.307677,0.295341,613.184,0.0379775,0,0,0,15,628.517,2.05657,1.00413,-0.0651738
3.33333,1981-01-04,08:00:00.00,0.285435,0.307677,0.295815,613.198,0.0379775,0,0,0,15,628.532,2.08128,1.01377,-0.0652686
